strain,stress
0.007267873,54.14193333
0.007294222,54.2181
0.007320635,54.3116
0.007347048,54.4394
0.007373143,54.5011
0.007399556,54.5667
0.007425905,54.65753333
0.007452254,54.78103333
0.007478667,54.86556667
0.007504825,54.94576667
0.007531175,55.0115
0.007557587,55.10986667
0.007583937,55.19266667
0.007610286,55.26373333
0.007636698,55.39603333
0.007662857,55.4627
0.007689206,55.5401
0.007715556,55.63826667
0.007741968,55.7091
0.00776819,55.79296667
0.00779454,55.89976667
0.007820889,55.9852
0.007847238,56.04183333
0.007873651,56.13203333
0.0079,56.23533333
0.007926159,56.31223333
0.007952508,56.393
0.007978921,56.4652
0.00800527,56.5554
0.008031492,56.6423
0.008057841,56.72323333
0.008084317,56.81703333
0.008110667,56.88533333
0.008136825,56.94306667
0.008163238,57.03963333
0.008189714,57.12426667
0.008215873,57.22913333
0.008242286,57.3055
0.008268635,57.38583333
0.008294857,57.46683333
0.00832127,57.53626667
0.008347683,57.62276667
0.008373841,57.68346667
0.008400254,57.78146667
0.008426667,57.8705
0.008452825,57.941
0.008479238,58.01846667
0.008505651,58.1083
0.00853181,58.16483333
0.008558159,58.23826667
0.008584571,58.3294
0.008610984,58.41913333
0.008637143,58.49266667
0.008663556,58.55616667
0.008689905,58.62683333
0.008716317,58.72543333
0.008742476,58.79293333
0.008768825,58.86846667
0.008795175,58.941
0.008821587,58.99783333
0.008848,59.0713
0.008874349,59.1565
0.008900444,59.2336
0.008926857,59.309
0.008953206,59.37296667
0.008979619,59.4416
0.009005968,59.54353333
0.009032127,59.63416667
0.00905854,59.69326667
0.009084889,59.73856667
0.009111302,59.79726667
0.009137651,59.87596667
0.00916381,59.99556667
0.009190159,60.05776667
0.009216571,60.1218
0.009242921,60.1715
0.00926927,60.26793333
0.009295429,60.3301
0.009321841,60.38306667
0.009348254,60.48666667
0.009374603,60.55363333
0.009401016,60.6294
0.009427111,60.70206667
0.009453524,60.7751
0.009479937,60.83223333
0.009506286,60.90776667
0.009532444,60.97903333
0.009558794,61.05003333
0.009585206,61.10843333
0.009611556,61.16853333
0.009637968,61.26503333
0.009664317,61.32676667
0.009690476,61.3816
0.009716825,61.4381
0.009743238,61.51566667
0.009769587,61.60166667
0.009795937,61.71243333
0.009822095,61.75976667
0.009848508,61.85356667
0.009874857,61.90656667
0.00990127,61.97113333
0.009927619,62.05673333
0.009953778,62.1049
0.00998019,62.20356667
0.01000654,62.26586667
0.010032889,62.3427
0.010059302,62.41273333
0.010085397,62.45963333
0.01011181,62.56813333
0.010138159,62.60523333
0.010164571,62.66016667
0.010190921,62.75903333
0.010217333,62.84033333
0.010243492,62.88743333
0.010269841,62.95743333
0.010296254,63.02006667
0.010322476,63.08703333
0.010348952,63.15576667
0.010375111,63.22686667
0.010401587,63.301
0.010428,63.36696667
0.010454159,63.4396
0.010480508,63.49996667
0.010506921,63.56886667
0.01053327,63.6312
0.010559429,63.70493333
0.010585841,63.77496667
0.01061219,63.85683333
0.01063854,63.91556667
0.010664952,63.9824
0.010691302,64.04576667
0.01071746,64.1217
0.01074381,64.19733333
0.010770222,64.26193333
0.010796571,64.32323333
0.010822984,64.4112
0.010849143,64.48473333
0.010875492,64.55343333
0.010901905,64.6174
0.010928254,64.6924
0.010954603,64.7669
0.010980762,64.83133333
0.011007175,64.9039
0.011033524,64.9785
0.011059873,65.0558
0.011086286,65.10256667
0.011112444,65.15466667
0.011138794,65.23383333
0.011165206,65.31583333
0.011191556,65.37673333
0.011217968,65.44876667
0.011244127,65.5017
0.01127054,65.577
0.011296889,65.63796667
0.011323238,65.7057
0.011349651,65.76053333
0.01137581,65.82046667
0.011402159,65.87766667
0.011428571,65.9541
0.01145473,66.03656667
0.011481079,66.0751
0.011507492,66.14526667
0.011533841,66.21783333
0.011560254,66.2962
0.011586603,66.33
0.011612762,66.38186667
0.011639111,66.44973333
0.011665524,66.51476667
0.011691873,66.57463333
0.011718286,66.6219
0.011744381,66.68666667
0.011770794,66.7463
0.011797143,66.791
0.011823492,66.86873333
0.011849905,66.92826667
0.011876254,66.96536667
0.011902413,67.02503333
0.011928825,67.06646667
0.011955175,67.11186667
0.011981587,67.1762
0.012007937,67.22846667
0.012034095,67.2958
0.012060508,67.3567
0.012086857,67.39603333
0.012113079,67.45363333
0.012139429,67.50736667
0.012165841,67.55516667
0.01219219,67.60956667
0.012218603,67.66093333
0.012244698,67.73553333
0.012271111,67.7835
0.01229746,67.83396667
0.012323873,67.8775
0.012350032,67.94553333
0.012376444,67.989
0.012402857,68.0308
0.01242927,68.10493333
0.012455429,68.1418
0.012481841,68.21036667
0.012508254,68.27543333
0.012534413,68.31823333
0.012560825,68.37346667
0.012587175,68.419
0.012613587,68.47006667
0.012639746,68.52123333
0.012666095,68.57786667
0.012692508,68.62176667
0.012718857,68.66003333
0.01274527,68.69633333
0.012771619,68.7727
0.012797968,68.81683333
0.012824127,68.8829
0.012850476,68.94203333
0.012876889,68.9967
0.012903238,69.0468
0.012929651,69.08453333
0.01295581,69.15933333
0.012982286,69.2011
0.013008444,69.22726667
0.013034857,69.28603333
0.01306127,69.33463333
0.013087683,69.3761
0.013113841,69.43543333
0.013140254,69.4888
0.013166667,69.55743333
0.013192825,69.61183333
0.013219238,69.64546667
0.013245651,69.70496667
0.01327181,69.7497
0.013298222,69.82933333
0.013324635,69.85233333
0.013350794,69.93313333
0.013377206,69.98386667
0.013403619,70.0212
0.013429778,70.04146667
0.01345619,70.1033
0.013482667,70.1691
0.013508825,70.19486667
0.013535238,70.25363333
0.013561651,70.3268
0.01358781,70.35986667
0.013614222,70.42126667
0.013640635,70.45776667
0.013666794,70.51243333
0.013693206,70.56096667
0.013719619,70.62876667
0.013745778,70.68633333
0.01377219,70.72063333
0.013798603,70.75896667
0.013824762,70.81173333
0.013851175,70.85113333
