strain,stress
0.901247442,54.0345
0.904337674,54.0491
0.907427907,54.0575
0.910522791,54.06482
0.913617674,54.0842
0.91668093,54.09532
0.919771163,54.11106
0.922861395,54.12896
0.925951628,54.16356
0.92904186,54.16446
0.932132093,54.19288
0.935223256,54.1877
0.938286512,54.19592
0.941378605,54.21432
0.944472558,54.24766
0.947565581,54.25822
0.950632558,54.27006
0.953725581,54.275
0.956819535,54.29954
0.959912558,54.32504
0.962981395,54.34796
0.966075349,54.35548
0.969168372,54.36734
0.972236279,54.37524
0.975329302,54.39196
0.978422326,54.40538
0.981515349,54.43646
0.984581395,54.45014
0.98767814,54.47788
0.990770233,54.49282
0.993864186,54.49816
0.996930233,54.51456
1.000022326,54.53388
1.003117209,54.5507
1.006206512,54.56938
1.009272558,54.60678
1.012366512,54.61606
1.015458605,54.63232
1.018552558,54.6422
1.021642791,54.66954
1.024705116,54.67754
1.027796279,54.69454
1.030887442,54.72172
1.033979535,54.72912
1.037070698,54.75356
1.04016186,54.76906
1.043223256,54.79518
1.046313488,54.8136
1.049404651,54.82378
1.052493953,54.84198
1.055585116,54.8614
1.058675349,54.86286
1.061766512,54.89286
1.064832558,54.91514
1.067922791,54.9237
1.071012093,54.94364
1.074101395,54.9514
1.077192558,54.97398
1.080282791,55.00504
1.083373023,55.01636
1.086435349,55.0351
1.089553488,55.04652
1.092619535,55.07514
1.095711628,55.08504
1.098803721,55.10374
1.101893953,55.12816
1.104983256,55.14252
1.108072558,55.17738
1.111164651,55.19418
1.114230698,55.22334
1.117322791,55.23308
1.120413023,55.25612
1.123502326,55.2698
1.126594419,55.29762
1.129683721,55.31828
1.132746977,55.33348
1.135835349,55.33774
1.138926512,55.35356
1.142016744,55.39646
1.145106047,55.41582
1.14819814,55.42754
1.151287442,55.44356
1.154351628,55.46362
1.157443721,55.49828
1.160533023,55.5154
1.163624186,55.53462
1.166716279,55.56378
1.169806512,55.57948
1.172868837,55.58978
1.17595907,55.62444
1.179050233,55.63984
1.182139535,55.65606
1.185231628,55.66282
1.18832186,55.6985
1.191386047,55.7081
1.194477209,55.72738
1.197567442,55.74216
1.200657674,55.76166
1.203749767,55.78536
1.20684186,55.80516
1.209909767,55.82524
1.213005581,55.82978
1.216103256,55.83926
1.219172093,55.85966
1.222268837,55.86732
1.225362791,55.88068
1.228428837,55.8864
1.23151907,55.88296
1.234609302,55.88184
1.237699535,55.87206
1.240790698,55.8664
1.24388,55.859
1.246945116,55.8353
1.250035349,55.8028
1.253125581,55.74912
1.256213953,55.64922
1.259302326,55.48018
1.262394419,55.0337
1.265486512,51.7431
